instance,instanceType,avgSolvingTime,instanceResults,genInstance,genResults,status,iraceScore,totalTime,instanceHashValue
inst-24-1047895682.dzn,unsat,0.2672891616821289,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2672891616821289, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.130351, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-24.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11256027221679688}",graded,-1.0,1.368516445159912,695069d1e21537b436543fd9f71cfb79
inst-7-1047895682.dzn,unsat,0.26711106300354004,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.26711106300354004, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.129182, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-7.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.12934422492980957}",graded,-1.0,1.3743863105773926,69bbcc7297b1a2b0c165272c2640bafa
inst-5-1047895682.dzn,unsat,0.2726013660430908,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2726013660430908, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.14381, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-5.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11066031455993652}",graded,-1.0,1.4012219905853271,6b14e60d43eb88bd857330bc71efe971
inst-11-1047895682.dzn,unsat,0.2758967876434326,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2758967876434326, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.1358, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-11.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.16051650047302246}",graded,-1.0,1.4950904846191406,6c7806cd03c28e8d15bc4005c7f70620
inst-2-1047895682.dzn,unsat,0.2668328285217285,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2668328285217285, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.133491, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-2.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11241936683654785}",graded,-1.0,1.425036907196045,82e54e3392d1f1f6708d3ed44c3b0609
inst-21-1047895682.dzn,unsat,0.2678234577178955,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2678234577178955, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.123944, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-21.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11534380912780762}",graded,-1.0,1.3596723079681396,92e9fc8b670b9e561879ee195c43e1af
inst-1-1047895682.dzn,unsat,0.2701544761657715,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2701544761657715, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.14144, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-1.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.12865090370178223}",graded,-1.0,1.4743146896362305,94180afb553a42a5d2817c49c50958ae
inst-16-1047895682.dzn,unsat,0.26664185523986816,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.26664185523986816, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.128766, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-16.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11420059204101562}",graded,-1.0,1.4878551959991455,b0ccd1b2ee475293140aff81efcbc85f
inst-15-1047895682.dzn,unsat,0.272702693939209,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.272702693939209, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.126877, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-15.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11576056480407715}",graded,-1.0,1.4220242500305176,bcc362f16c7d8e027c0b1855e1f4b7fd
inst-20-1047895682.dzn,unsat,0.2693204879760742,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2693204879760742, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.12361, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-20.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.12180876731872559}",graded,-1.0,1.3851046562194824,c97269196517562244cc747fb49e5c31
inst-26-1047895682.dzn,unsat,0.2704603672027588,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2704603672027588, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.127851, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-26.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11269354820251465}",graded,-1.0,1.38926100730896,cbad9ab50e0a6efb6fa409fbc4c6d632
inst-22-1047895682.dzn,unsat,0.26605749130249023,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.26605749130249023, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.127055, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-22.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11391043663024902}",graded,-1.0,1.3619694709777832,d1ae90541bc7a02958694002f7781532
inst-18-1047895682.dzn,unsat,0.2669868469238281,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2669868469238281, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.124154, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-18.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.1126711368560791}",graded,-1.0,1.3486294746398926,d2da541e19cde57c0fc8754632f029d0
inst-8-1047895682.dzn,unsat,0.26942920684814453,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.26942920684814453, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.122932, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-8.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.118408203125}",graded,-1.0,1.3907265663146973,dbb1e1a162af5e7cd9dc88ca51957c4b
inst-19-1047895682.dzn,unsat,0.2693183422088623,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2693183422088623, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.125002, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-19.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.11047697067260742}",graded,-1.0,1.3584511280059814,dec30e84cf197d9aacfca508f17cccb9
inst-23-1047895682.dzn,unsat,0.2714829444885254,"{'status': 'ok', 'score': -1, 'results': {'main': {'runs': [{'seed': None, 'status': 'C', 'time': 0.2714829444885254, 'extra': {'objs': [], 'flattenStatus': 'ok', 'flattenTime': 0.127637, 'instanceType': 'unsat', 'answerStatus': 'unknown'}}]}, 'oracle': {'runs': []}}}",gen-inst-23.param,"{'status': 'sat', 'seed': 1047895682, 'SRTime': 0, 'solverTime': 0.12214136123657227}",graded,-1.0,1.3521206378936768,f306b3c8e8084d8af9e08709d306ed5a
